Villes/Villes,Ville 1,Ville 2,Ville 3,Ville 4,Ville 5,Ville 6,Ville 7,Ville 8,Ville 9,Ville 10,Ville 11
Ville 1,0.0,14.47,39.2,17.93,15.08,36.38,45.05,24.53,10.11,2.69,9.31
Ville 2,14.15,0.0,28.56,24.99,21.02,51.67,51.98,40.1,22.37,12.2,13.4
Ville 3,39.27,28.6,0.0,50.11,46.62,76.79,63.55,65.23,47.5,37.32,38.52
Ville 4,19.19,23.72,49.77,0.0,5.1,28.29,54.55,19.43,3.24,20.93,12.3
Ville 5,15.93,21.0,46.45,5.31,0.0,31.65,48.6,22.69,3.02,11.83,8.98
Ville 6,37.54,53.19,77.92,29.42,32.54,0.0,43.37,17.41,29.86,39.28,40.55
Ville 7,44.6,52.3,63.53,54.43,48.86,41.88,0.0,30.47,46.18,46.34,47.91
Ville 8,24.17,40.12,64.86,19.5,22.26,17.17,30.48,0.0,19.58,25.92,27.48
Ville 9,10.42,21.2,47.25,3.14,3.03,28.98,46.28,20.01,0.0,12.16,9.78
Ville 10,2.78,12.11,36.85,19.96,11.79,38.41,47.08,26.56,12.15,0.0,2.29
Ville 11,5.28,13.73,38.46,12.47,8.98,39.86,48.82,28.3,9.86,3.33,0.0
