"0,0",14.47:1107,39.2:2674,17.93:853,15.08:910,36.38:1951,45.05:2466,24.53:1447,10.11:770,2.69:324,9.31:557
14.15:1086,"0,0",28.56:1861,24.99:1686,21.02:1298,51.67:2709,51.98:3285,40.1:2249,22.37:1500,12.2:885,13.4:988
39.27:2673,28.6:1848,"0,0",50.11:3273,46.62:2982,76.79:4297,63.55:4235,65.23:3836,47.5:3087,37.32:2472,38.52:2575
19.19:892,23.72:1698,49.77:3250,"0,0",5.1:489,28.29:1846,54.55:2685,19.43:1473,3.24:345,20.93:1094,12.3:1072
15.93:972,21.0:1276,46.45:2973,5.31:518,"0,0",31.65:2092,48.6:3038,22.69:1718,3.02:370,11.83:941,8.98:795
37.54:1864,53.19:2631,77.92:4198,29.42:1750,32.54:1991,"0,0",43.37:2554,17.41:1069,29.86:1697,39.28:2066,40.55:2034
44.6:2459,52.3:3292,63.53:4224,54.43:2723,48.86:3031,41.88:2585,"0,0",30.47:2129,46.18:2736,46.34:2661,47.91:2657
24.17:1447,40.12:2243,64.86:3810,19.5:1464,22.26:1694,17.17:1057,30.48:2140,"0,0",19.58:1400,25.92:1649,27.48:1645
10.42:800,21.2:1518,47.25:3070,3.14:322,3.03:370,28.98:1799,46.28:2744,20.01:1425,"0,0",12.16:1002,9.78:892
2.78:339,12.11:844,36.85:2411,19.96:1065,11.79:900,38.41:2163,47.08:2678,26.56:1658,12.15:981,"0,0",2.29:426
5.28:657,13.73:1008,38.46:2575,12.47:1096,8.98:804,39.86:2161,48.82:2720,28.3:1700,9.86:910,3.33:457,"0,0"
