Villes/Villes,Ville 1,Ville 2,Ville 3,Ville 4,Ville 5,Ville 6,Ville 7,Ville 8,Ville 9,Ville 10,Ville 11,Ville 12,Ville 13,Ville 14,Ville 15,Ville 16,Ville 17,Ville 18,Ville 19,Ville 20,Ville 21
Ville 1,0.0,42.89,34.58,14.47,10.34,15.33,44.21,18.02,17.41,28.66,17.93,14.4,24.88,2.69,36.32,44.02,38.92,0.58,13.58,19.9,26.24
Ville 2,42.53,0.0,51.78,53.72,49.59,39.6,41.48,42.52,59.53,62.78,44.58,32.25,46.34,44.28,41.45,12.08,66.85,42.05,41.81,62.02,19.01
Ville 3,34.17,51.68,0.0,49.82,45.69,21.09,25.92,17.77,30.22,57.45,23.75,28.62,64.83,35.91,18.04,41.5,70.56,33.68,27.98,38.7,37.83
Ville 4,14.15,53.82,49.87,0.0,4.39,30.61,59.49,33.31,16.8,15.17,24.99,29.98,26.4,12.2,51.61,59.6,28.28,14.48,20.0,9.78,41.81
Ville 5,10.35,50.02,46.07,4.73,0.0,26.82,55.7,29.51,17.48,18.93,21.19,26.18,24.07,8.4,47.81,55.8,32.04,10.68,16.2,10.74,38.02
Ville 6,15.43,39.46,21.29,31.09,26.96,0.0,34.26,6.81,19.77,45.28,1.98,7.57,46.1,17.18,26.37,43.15,55.54,14.95,6.9,34.62,22.8
Ville 7,44.1,43.59,26.87,59.76,55.63,34.2,0.0,28.4,53.78,73.95,35.98,32.94,74.77,45.85,8.76,33.41,84.21,43.62,38.71,63.29,33.29
Ville 8,18.08,42.39,17.95,33.73,29.6,6.86,28.28,0.0,29.41,47.92,9.87,9.44,48.74,19.82,20.39,37.17,58.18,17.59,12.92,37.27,24.14
Ville 9,18.79,61.27,30.13,17.3,18.9,30.89,53.8,29.46,0.0,27.33,20.19,32.79,41.63,16.84,47.48,67.22,40.44,19.11,17.6,9.48,44.62
Ville 10,29.86,63.03,59.3,16.36,20.1,46.33,75.2,49.02,30.41,0.0,40.7,45.69,26.3,27.91,67.32,75.31,13.47,30.19,35.71,19.81,57.52
Ville 11,19.19,41.32,23.95,23.72,20.91,1.98,36.12,10.11,18.01,37.92,0.0,9.43,49.86,20.93,28.23,45.01,49.49,18.71,5.14,23.32,24.66
Ville 12,14.2,32.22,27.25,30.14,26.02,7.78,32.48,8.9,31.19,44.34,12.75,0.0,38.62,15.94,24.6,33.35,54.6,13.72,9.99,33.68,15.57
Ville 13,25.01,46.68,61.0,25.57,24.08,41.75,70.63,44.45,40.02,25.81,44.35,38.76,0.0,23.07,62.74,54.58,25.16,25.34,35.25,34.33,37.45
Ville 14,2.78,44.92,36.61,12.11,7.99,17.36,46.24,20.06,15.06,26.31,19.96,16.44,23.38,0.0,38.36,46.05,36.57,3.11,10.3,17.55,28.27
Ville 15,36.27,41.36,18.25,51.92,47.79,26.36,8.65,20.56,47.53,66.11,28.15,25.1,66.93,38.01,0.0,32.41,76.37,35.78,30.87,55.46,28.49
Ville 16,43.67,11.91,41.46,59.62,55.49,42.42,31.19,36.62,60.67,73.81,44.2,33.39,54.62,45.41,32.79,0.0,75.13,43.19,46.93,63.16,20.14
Ville 17,39.0,67.22,71.26,28.32,32.06,55.46,84.34,58.16,42.37,13.51,49.83,54.83,25.17,37.05,76.46,75.12,0.0,39.32,44.84,31.77,57.9
Ville 18,0.56,42.47,34.16,14.79,10.66,14.9,43.78,17.6,22.57,28.98,17.5,13.98,25.2,3.01,35.9,43.6,39.24,0.0,13.16,25.06,25.81
Ville 19,14.49,41.93,28.4,18.97,16.15,7.08,39.22,13.07,16.07,33.16,5.38,10.04,35.18,10.4,31.33,48.11,44.74,14.01,0.0,18.56,25.28
Ville 20,19.85,62.34,39.16,9.82,10.77,34.49,63.37,37.18,9.03,18.28,23.66,33.85,34.35,17.9,55.48,63.47,31.39,20.18,18.67,0.0,45.69
Ville 21,25.53,19.01,36.17,41.48,37.35,22.6,32.06,23.81,42.53,55.68,27.58,15.25,37.43,27.28,27.23,20.14,57.84,25.05,24.81,45.02,0.0
