0:0,39.28:44,36.38:32,35.78:32,26.12:26,7.16:12,14.52:16,10.11:12,24.88:29,25.62:26,27.98:20,37.37:38,27.98:20,14.47:18,26.24:27,18.46:23,36.41:32,44.21:39,39.21:44,18.05:23,27.19:31,13.58:12,31.22:37,28.96:20,28.07:20,41.21:40,4.54:9,28.5:31,5.12:5,28.66:30,13.58:12,9.19:13,21.98:19,15.33:12,39.23:44,30.08:26,21.86:20,23.15:26,44.02:45,10.34:14,36.32:29,25.45:26,2.69:5,38.71:34,17.93:14,17.78:18,52.75:43,15.08:15,42.89:41,18.7:24,14.97:17,2.69:5,45.05:41,9.31:9,19.54:23,19.9:21,30.22:24,29.88:25,39.52:32,3.46:6,22.28:25,25.69:26,30.82:27,38.92:43,4.71:10,0.58:0,18.02:14,14.4:15,25.21:24,28.58:32,8.4:10,7.39:13,17.41:18,18.08:20,28.11:20,21.06:24,22.64:20,15.33:12,23.62:14,96.45:73,34.58:26,27.19:20,30.93:24,24.53:24,25.43:29,1.57:3
39.33:44,0:0,76.85:71,59.81:65,59.82:66,35.52:41,55.27:56,47.55:51,25.5:31,58.48:63,42.18:47,68.47:75,42.63:48,28.65:31,58.23:63,29.31:33,57.18:62,84.67:78,1.15:2,29.19:34,30.51:31,45.18:47,17.77:19,44.71:50,42.55:48,64.98:71,36.53:38,10.76:13,45.87:45,13.85:18,45.18:47,29.77:33,62.74:59,55.79:51,0.57:1,70.55:65,62.62:60,26.61:27,75.46:83,32.39:35,76.79:69,58.67:63,37.38:41,79.18:73,50.17:54,48.79:44,93.21:82,46.68:49,67.55:72,25.79:30,50.42:53,37.38:41,63.6:70,38.58:43,24.69:27,32.1:34,70.68:63,75.29:62,79.99:71,39.16:43,16.98:19,58.55:63,71.84:60,0.53:1,38.27:42,39.66:45,58.49:53,55.16:55,65.97:64,19.22:23,49.16:50,35.79:42,42.71:42,43.16:40,41.9:47,21.1:23,63.4:60,55.79:51,41.45:46,61.79:58,71.6:59,64.21:53,67.94:56,65.28:64,28.9:30,39.76:45
37.54:31,77.99:70,0:0,26.59:28,20.03:20,39.02:40,26.22:24,29.86:28,68.2:53,21.08:22,38.1:39,23.99:21,38.1:39,53.19:43,21.84:23,56.8:46,33.35:34,11.53:13,77.93:69,57.09:46,65.22:50,32.14:32,69.94:62,34.92:35,38.19:39,31.6:30,42.29:33,67.22:57,34.19:28,67.38:56,32.14:32,45.77:42,21.56:21,27.63:25,77.95:70,10.03:11,18.88:18,64.82:50,21.7:19,49.06:39,9.98:12,20.93:21,39.28:34,11.71:14,29.42:29,41.06:40,21.7:17,32.54:33,31.88:29,57.42:49,33.2:31,39.28:34,43.37:42,40.55:33,58.26:49,56.73:45,9.18:8,16.92:14,14.6:16,40.04:35,61.0:50,21.15:22,17.45:14,77.64:69,41.3:39,37.05:30,21.83:20,26.37:25,16.12:17,65.16:61,28.16:25,38.84:39,49.46:42,48.24:39,38.23:39,59.78:49,18.89:19,27.63:25,46.54:34,119.37:92,20.17:18,28.53:24,28.41:27,17.41:17,64.15:54,36.98:31
35.75:32,59.76:66,26.53:28,0:0,6.81:11,27.51:28,20.1:25,27.44:36,38.9:41,5.47:8,18.33:20,11.29:13,18.33:19,43.44:46,5.44:8,30.81:32,6.76:6,38.15:38,59.7:65,31.1:33,61.71:57,29.71:40,60.2:64,15.12:15,18.42:20,14.51:14,40.79:34,48.99:52,32.33:29,57.64:58,29.71:40,33.12:36,9.92:14,27.51:35,59.72:65,30.05:32,11.59:16,52.12:54,17.93:21,39.32:42,33.32:33,5.66:9,37.49:35,35.83:37,32.48:37,53.11:44,28.51:27,30.12:41,15.39:16,47.68:51,32.29:40,37.49:35,15.4:14,39.06:35,48.51:51,55.23:47,31.26:30,39.0:35,38.4:38,38.25:36,42.77:46,5.54:8,39.54:36,59.41:64,30.49:34,35.26:31,28.71:33,20.16:25,13.58:16,46.09:47,25.73:33,27.33:27,52.74:44,53.4:46,18.46:20,50.03:51,17.45:22,27.51:35,24.62:25,85.03:84,42.26:39,39.67:42,43.41:46,15.12:20,54.41:56,35.19:32
25.78:26,59.85:66,18.66:19,6.81:11,0:0,24.26:26,15.45:18,22.78:29,39.08:41,1.49:2,18.51:20,11.71:12,18.51:20,41.73:39,2.25:4,30.89:32,13.58:17,30.27:29,59.78:65,31.18:33,51.74:51,25.06:33,58.48:58,15.33:16,18.6:20,15.55:15,30.83:29,49.08:52,22.37:23,55.92:52,25.06:33,29.88:35,5.26:7,22.85:28,59.8:65,22.18:23,6.93:9,50.41:47,18.35:20,37.6:35,25.45:24,1.34:2,27.52:30,27.95:28,27.83:30,43.15:38,26.54:24,25.46:34,17.22:16,45.96:45,27.63:33,27.52:30,22.22:26,29.09:30,46.8:45,45.27:41,23.39:20,31.13:26,30.53:29,28.29:30,42.85:46,1.56:3,31.66:26,59.5:64,27.24:33,25.3:26,26.52:25,15.5:18,5.71:7,46.27:47,21.07:26,24.08:26,42.78:39,43.44:40,18.64:20,48.32:45,12.79:15,22.85:28,24.23:24,91.53:83,34.38:30,37.48:34,41.21:38,10.46:13,52.69:50,25.23:26
7.09:12,37.0:43,40.28:42,28.59:30,25.64:29,0:0,19.13:22,16.45:23,21.91:26,24.3:26,15.78:18,36.9:40,15.79:18,15.94:17,24.06:26,12.92:16,29.24:30,50.55:49,36.93:42,13.21:17,28.66:30,15.43:20,32.69:36,16.77:18,15.87:18,37.04:39,7.31:13,26.23:30,11.46:15,30.13:30,15.43:20,7.22:10,21.73:23,21.67:22,36.96:43,36.42:36,21.6:24,24.62:25,43.54:48,11.81:13,42.66:40,24.49:27,5.14:8,45.05:45,24.27:24,20.56:22,52.06:51,16.92:23,39.61:40,20.17:23,20.67:27,5.14:8,37.78:39,7.42:15,21.01:23,22.06:23,36.56:34,36.22:36,45.86:42,4.53:9,20.01:23,24.37:26,37.16:37,36.65:42,2.98:6,7.42:13,24.37:24,19.19:22,24.95:28,26.61:29,14.75:20,1.83:3,20.19:22,20.85:24,15.92:18,22.53:23,22.38:25,21.67:22,9.63:11,84.8:71,40.92:37,33.53:31,37.27:34,24.27:28,26.9:28,7.52:13
14.46:16,59.98:55,24.58:25,20.06:24,15.38:17,17.72:19,0:0,7.97:12,38.55:38,14.88:17,21.2:19,26.63:29,21.2:19,35.17:28,15.5:18,29.85:29,28.62:27,32.41:31,59.91:54,30.15:30,45.18:40,10.25:16,51.92:47,19.89:18,21.28:19,30.47:32,24.27:17,49.21:41,8.23:13,49.37:40,10.25:16,22.69:27,10.13:10,9.98:10,59.93:54,18.28:18,10.01:11,43.85:36,33.28:37,31.04:24,24.52:22,14.71:17,16.2:20,26.91:27,11.76:14,20.21:26,40.95:36,10.65:17,32.15:33,39.41:34,12.82:17,16.2:20,37.26:36,22.53:18,40.24:34,38.71:30,18.42:16,21.22:21,27.72:25,16.97:20,42.98:35,14.94:17,22.87:21,59.63:53,18.22:24,13.98:16,8.83:9,0.43:0,13.35:15,44.43:46,6.26:9,17.54:19,36.22:27,35.69:27,21.33:20,41.76:34,7.04:9,9.98:10,19.79:19,101.36:77,27.17:24,19.79:18,23.52:22,11.03:14,46.13:39,13.91:16
10.42:13,47.33:51,28.98:29,27.43:36,22.75:29,16.62:22,7.74:12,0:0,37.42:39,22.25:28,31.02:24,34.01:40,31.03:24,21.2:25,22.87:29,36.92:30,37.64:37,36.8:36,47.26:50,37.22:30,27.28:33,2.62:5,37.96:44,32.01:24,31.11:24,37.84:43,11.62:14,36.55:38,5.18:8,35.4:37,2.62:5,21.72:22,17.5:21,5.08:8,47.28:51,22.67:23,17.38:22,26.27:31,45.7:42,18.39:20,28.92:27,22.08:28,12.16:16,31.31:31,3.14:5,10.94:15,45.34:40,3.03:6,39.52:44,25.44:30,5.54:6,12.16:16,46.28:45,9.78:14,26.27:30,20.8:23,22.81:21,22.81:25,32.12:29,12.92:17,30.33:31,22.32:28,23.75:26,46.97:50,14.18:21,9.94:13,10.65:11,7.63:11,20.73:26,41.12:42,1.71:2,16.86:23,16.69:21,16.19:22,31.16:24,27.8:30,14.41:20,5.08:8,26.67:18,99.5:76,27.51:25,20.12:19,23.86:23,20.01:23,30.03:35,9.87:13
25.01:29,25.51:31,62.8:55,38.93:41,39.04:41,20.08:22,38.7:38,37.63:39,0:0,37.7:39,20.87:23,47.59:51,21.32:24,25.57:28,37.45:38,9.83:12,36.31:37,70.63:62,25.44:30,10.12:13,39.8:41,35.25:35,32.21:36,23.83:25,21.24:24,44.11:46,26.6:26,14.74:18,36.23:31,25.81:31,35.25:35,15.7:16,36.5:38,41.75:35,25.47:30,56.5:49,38.78:40,35.76:37,54.58:59,24.08:27,62.74:52,37.89:39,23.07:26,65.13:57,44.35:37,40.39:36,65.13:65,36.75:37,46.68:47,26.16:29,40.5:41,23.07:26,39.87:44,28.65:30,27.11:31,34.33:36,56.64:47,56.3:48,65.94:55,24.34:27,12.36:16,37.77:39,57.24:50,25.16:30,22.91:25,25.34:30,44.45:37,38.76:38,42.12:45,7.84:9,39.52:35,20.35:23,40.02:37,40.68:38,21.02:22,32.92:34,41.95:41,41.75:35,21.27:22,61.98:60,61.0:49,53.62:43,57.35:47,42.31:45,38.04:40,25.45:30
24.98:25,58.54:63,19.55:20,5.69:9,1.34:2,22.96:24,14.64:16,21.98:27,37.78:39,0:0,17.2:17,12.6:14,17.21:17,40.93:38,1.13:2,29.59:30,12.46:15,31.16:31,58.48:62,29.88:30,50.94:50,24.26:32,57.68:57,14.02:13,17.29:18,16.43:16,30.03:27,47.77:50,21.56:22,55.12:50,24.26:32,28.57:32,4.46:6,22.05:26,58.5:63,23.06:24,6.13:7,49.6:46,19.24:21,36.8:34,26.34:26,0.19:0,26.72:28,28.84:30,27.02:29,42.35:37,27.43:26,24.66:32,18.11:17,45.16:44,26.83:32,26.72:28,21.09:24,28.29:28,45.99:44,44.46:40,24.28:22,32.02:28,31.42:31,27.48:29,41.55:43,0.42:1,32.55:28,58.19:62,25.94:30,24.5:25,23.25:25,14.7:16,6.6:8,44.97:45,20.27:25,22.78:23,41.98:37,42.64:39,17.34:18,47.52:44,11.99:14,22.05:26,22.93:21,90.23:80,35.27:32,34.21:34,37.95:38,9.66:12,51.89:49,24.43:25
