Villes/Villes,Ville 1,Ville 2,Ville 3,Ville 4,Ville 5,Ville 6,Ville 7,Ville 8,Ville 9,Ville 10,Ville 11,Ville 12,Ville 13,Ville 14,Ville 15,Ville 16,Ville 17,Ville 18,Ville 19,Ville 20,Ville 21,Ville 22,Ville 23,Ville 24,Ville 25,Ville 26,Ville 27,Ville 28,Ville 29,Ville 30,Ville 31,Ville 32,Ville 33,Ville 34,Ville 35,Ville 36,Ville 37,Ville 38,Ville 39,Ville 40,Ville 41,Ville 42,Ville 43,Ville 44,Ville 45,Ville 46,Ville 47,Ville 48,Ville 49,Ville 50,Ville 51,Ville 52,Ville 53,Ville 54,Ville 55,Ville 56,Ville 57,Ville 58,Ville 59,Ville 60,Ville 61,Ville 62,Ville 63,Ville 64,Ville 65,Ville 66,Ville 67,Ville 68,Ville 69,Ville 70,Ville 71,Ville 72,Ville 73,Ville 74,Ville 75,Ville 76,Ville 77,Ville 78,Ville 79,Ville 80,Ville 81,Ville 82,Ville 83,Ville 84,Ville 85,Ville 86
Ville 1,0.0,39.28,36.38,35.78,26.12,7.16,14.52,10.11,24.88,25.62,27.98,37.37,27.98,14.47,26.24,18.46,36.41,44.21,39.21,18.05,27.19,13.58,31.22,28.96,28.07,41.21,4.54,28.5,5.12,28.66,13.58,9.19,21.98,15.33,39.23,30.08,21.86,23.15,44.02,10.34,36.32,25.45,2.69,38.71,17.93,17.78,52.75,15.08,42.89,18.7,14.97,2.69,45.05,9.31,19.54,19.9,30.22,29.88,39.52,3.46,22.28,25.69,30.82,38.92,4.71,0.58,18.02,14.4,25.21,28.58,8.4,7.39,17.41,18.08,28.11,21.06,22.64,15.33,23.62,96.45,34.58,27.19,30.93,24.53,25.43,1.57
Ville 2,39.33,0.0,76.85,59.81,59.82,35.52,55.27,47.55,25.5,58.48,42.18,68.47,42.63,28.65,58.23,29.31,57.18,84.67,1.15,29.19,30.51,45.18,17.77,44.71,42.55,64.98,36.53,10.76,45.87,13.85,45.18,29.77,62.74,55.79,0.57,70.55,62.62,26.61,75.46,32.39,76.79,58.67,37.38,79.18,50.17,48.79,93.21,46.68,67.55,25.79,50.42,37.38,63.6,38.58,24.69,32.1,70.68,75.29,79.99,39.16,16.98,58.55,71.84,0.53,38.27,39.66,58.49,55.16,65.97,19.22,49.16,35.79,42.71,43.16,41.9,21.1,63.4,55.79,41.45,61.79,71.6,64.21,67.94,65.28,28.9,39.76
Ville 3,37.54,77.99,0.0,26.59,20.03,39.02,26.22,29.86,68.2,21.08,38.1,23.99,38.1,53.19,21.84,56.8,33.35,11.53,77.93,57.09,65.22,32.14,69.94,34.92,38.19,31.6,42.29,67.22,34.19,67.38,32.14,45.77,21.56,27.63,77.95,10.03,18.88,64.82,21.7,49.06,9.98,20.93,39.28,11.71,29.42,41.06,21.7,32.54,31.88,57.42,33.2,39.28,43.37,40.55,58.26,56.73,9.18,16.92,14.6,40.04,61.0,21.15,17.45,77.64,41.3,37.05,21.83,26.37,16.12,65.16,28.16,38.84,49.46,48.24,38.23,59.78,18.89,27.63,46.54,119.37,20.17,28.53,28.41,17.41,64.15,36.98
Ville 4,35.75,59.76,26.53,0.0,6.81,27.51,20.1,27.44,38.9,5.47,18.33,11.29,18.33,43.44,5.44,30.81,6.76,38.15,59.7,31.1,61.71,29.71,60.2,15.12,18.42,14.51,40.79,48.99,32.33,57.64,29.71,33.12,9.92,27.51,59.72,30.05,11.59,52.12,17.93,39.32,33.32,5.66,37.49,35.83,32.48,53.11,28.51,30.12,15.39,47.68,32.29,37.49,15.4,39.06,48.51,55.23,31.26,39.0,38.4,38.25,42.77,5.54,39.54,59.41,30.49,35.26,28.71,20.16,13.58,46.09,25.73,27.33,52.74,53.4,18.46,50.03,17.45,27.51,24.62,85.03,42.26,39.67,43.41,15.12,54.41,35.19
Ville 5,25.78,59.85,18.66,6.81,0.0,24.26,15.45,22.78,39.08,1.49,18.51,11.71,18.51,41.73,2.25,30.89,13.58,30.27,59.78,31.18,51.74,25.06,58.48,15.33,18.6,15.55,30.83,49.08,22.37,55.92,25.06,29.88,5.26,22.85,59.8,22.18,6.93,50.41,18.35,37.6,25.45,1.34,27.52,27.95,27.83,43.15,26.54,25.46,17.22,45.96,27.63,27.52,22.22,29.09,46.8,45.27,23.39,31.13,30.53,28.29,42.85,1.56,31.66,59.5,27.24,25.3,26.52,15.5,5.71,46.27,21.07,24.08,42.78,43.44,18.64,48.32,12.79,22.85,24.23,91.53,34.38,37.48,41.21,10.46,52.69,25.23
Ville 6,7.09,37.0,40.28,28.59,25.64,0.0,19.13,16.45,21.91,24.3,15.78,36.9,15.79,15.94,24.06,12.92,29.24,50.55,36.93,13.21,28.66,15.43,32.69,16.77,15.87,37.04,7.31,26.23,11.46,30.13,15.43,7.22,21.73,21.67,36.96,36.42,21.6,24.62,43.54,11.81,42.66,24.49,5.14,45.05,24.27,20.56,52.06,16.92,39.61,20.17,20.67,5.14,37.78,7.42,21.01,22.06,36.56,36.22,45.86,4.53,20.01,24.37,37.16,36.65,2.98,7.42,24.37,19.19,24.95,26.61,14.75,1.83,20.19,20.85,15.92,22.53,22.38,21.67,9.63,84.8,40.92,33.53,37.27,24.27,26.9,7.52
Ville 7,14.46,59.98,24.58,20.06,15.38,17.72,0.0,7.97,38.55,14.88,21.2,26.63,21.2,35.17,15.5,29.85,28.62,32.41,59.91,30.15,45.18,10.25,51.92,19.89,21.28,30.47,24.27,49.21,8.23,49.37,10.25,22.69,10.13,9.98,59.93,18.28,10.01,43.85,33.28,31.04,24.52,14.71,16.2,26.91,11.76,20.21,40.95,10.65,32.15,39.41,12.82,16.2,37.26,22.53,40.24,38.71,18.42,21.22,27.72,16.97,42.98,14.94,22.87,59.63,18.22,13.98,8.83,0.43,13.35,44.43,6.26,17.54,36.22,35.69,21.33,41.76,7.04,9.98,19.79,101.36,27.17,19.79,23.52,11.03,46.13,13.91
Ville 8,10.42,47.33,28.98,27.43,22.75,16.62,7.74,0.0,37.42,22.25,31.02,34.01,31.03,21.2,22.87,36.92,37.64,36.8,47.26,37.22,27.28,2.62,37.96,32.01,31.11,37.84,11.62,36.55,5.18,35.4,2.62,21.72,17.5,5.08,47.28,22.67,17.38,26.27,45.7,18.39,28.92,22.08,12.16,31.31,3.14,10.94,45.34,3.03,39.52,25.44,5.54,12.16,46.28,9.78,26.27,20.8,22.81,22.81,32.12,12.92,30.33,22.32,23.75,46.97,14.18,9.94,10.65,7.63,20.73,41.12,1.71,16.86,16.69,16.19,31.16,27.8,14.41,5.08,26.67,99.5,27.51,20.12,23.86,20.01,30.03,9.87
Ville 9,25.01,25.51,62.8,38.93,39.04,20.08,38.7,37.63,0.0,37.7,20.87,47.59,21.32,25.57,37.45,9.83,36.31,70.63,25.44,10.12,39.8,35.25,32.21,23.83,21.24,44.11,26.6,14.74,36.23,25.81,35.25,15.7,36.5,41.75,25.47,56.5,38.78,35.76,54.58,24.08,62.74,37.89,23.07,65.13,44.35,40.39,65.13,36.75,46.68,26.16,40.5,23.07,39.87,28.65,27.11,34.33,56.64,56.3,65.94,24.34,12.36,37.77,57.24,25.16,22.91,25.34,44.45,38.76,42.12,7.84,39.52,20.35,40.02,40.68,21.02,32.92,41.95,41.75,21.27,61.98,61.0,53.62,57.35,42.31,38.04,25.45
Ville 10,24.98,58.54,19.55,5.69,1.34,22.96,14.64,21.98,37.78,0.0,17.2,12.6,17.21,40.93,1.13,29.59,12.46,31.16,58.48,29.88,50.94,24.26,57.68,14.02,17.29,16.43,30.03,47.77,21.56,55.12,24.26,28.57,4.46,22.05,58.5,23.06,6.13,49.6,19.24,36.8,26.34,0.19,26.72,28.84,27.02,42.35,27.43,24.66,18.11,45.16,26.83,26.72,21.09,28.29,45.99,44.46,24.28,32.02,31.42,27.48,41.55,0.42,32.55,58.19,25.94,24.5,23.25,14.7,6.6,44.97,20.27,22.78,41.98,42.64,17.34,47.52,11.99,22.05,22.93,90.23,35.27,34.21,37.95,9.66,51.89,24.43
